,target-0.5_stop-0.5,target-0.5_stop-1.0,target-0.5_stop-1.5,target-0.5_stop-2.0,target-0.5_stop-2.5,target-1.0_stop-0.5,target-1.0_stop-1.0,target-1.0_stop-1.5,target-1.0_stop-2.0,target-1.0_stop-2.5,target-1.5_stop-0.5,target-1.5_stop-1.0,target-1.5_stop-1.5,target-1.5_stop-2.0,target-1.5_stop-2.5,target-2.0_stop-0.5,target-2.0_stop-1.0,target-2.0_stop-1.5,target-2.0_stop-2.0,target-2.0_stop-2.5,target-2.5_stop-0.5,target-2.5_stop-1.0,target-2.5_stop-1.5,target-2.5_stop-2.0,target-2.5_stop-2.5
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.positiveProportionCI_95.lowerLimit,0.9977531433105469,0.9983711242675781,0.9986457824707031,0.9987831115722656,0.9988670349121094,0.9968452453613281,0.9978981018066406,0.9983329772949219,0.9985694885253906,0.9986991882324219,0.9955863952636719,0.9972114562988281,0.9978675842285156,0.9982109069824219,0.9984245300292969,0.9941596984863281,0.9964790344238281,0.9973869323730469,0.9978446960449219,0.9981498718261719,0.9929313659667969,0.9958381652832031,0.9969139099121094,0.9974937438964844,0.9978752136230469
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.negativeProportionCI_95.upperLimit,0.002246856689453125,0.001628875732421875,0.001354217529296875,0.001216888427734375,0.001132965087890625,0.003154754638671875,0.002101898193359375,0.001667022705078125,0.001430511474609375,0.001300811767578125,0.004413604736328125,0.002788543701171875,0.002132415771484375,0.001789093017578125,0.001575469970703125,0.005840301513671875,0.003520965576171875,0.002613067626953125,0.002155303955078125,0.001850128173828125,0.007068634033203125,0.004161834716796875,0.003086090087890625,0.002506256103515625,0.002124786376953125
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.meanCI_95.lowerLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.priceTargetsReached.meanCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.mean,7.100609756097562,11.039276257722864,15.54819720382634,20.45568783068784,24.236777367773673,18.589041095890416,24.597031963470343,31.953351449275353,39.26721120186696,44.96335447498239,32.60071942446041,42.236363636363635,52.09901563404744,61.35658914728687,70.07472245943633,49.4095238095238,63.192160611854696,74.75497159090912,88.3892460549387,100.4331658291457,68.85576923076925,86.33559322033896,100.90703517587943,118.05638586956512,132.73498845265584
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.stdDev,7.201467521712967,13.51106985293499,21.00114081208487,31.363195581848753,37.61609602589985,20.42514579487983,26.50167828232155,36.27358033552277,46.30807606575971,53.15017593173125,32.536617834096525,42.01344828329511,52.70843998461875,62.747288973916206,72.81258066036303,46.69016950312723,59.41106799819493,74.18855741017823,89.7674798893705,100.76693489908733,61.205963017081736,84.21165782204689,102.40507914874449,120.61263376405867,136.11652533369917
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.min,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.firstQuartile,2,3,4,4,4,6,8,9,11,11,11,14,18,20,21,17,22,27,31,33,26,31,35.75,40,42
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.median,5,7,8,9,10,12,16,19,23,25,23,29,35,41,45,36,44,51,56,63,50,59,67,76,89
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.thirdQuartile,9,14,18,23,27,22,32,40,50,56.25,43,56,67,80,92.25,63.25,79.25,94.75,122,141,93,115,139.25,162,174
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.max,70,142,180,252,255,164,268,288,294,384,239,299,438,443,908,253,544,661,661,908,436,833,833,833,1163
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.summary.range,69,141,179,251,254,163,267,287,293,383,238,298,437,442,907,251,542,659,659,906,434,831,831,831,1161
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.positiveCount,1640,2266,2718,3024,3252,1168,1752,2208,2571,2838,834,1320,1727,2064,2342,630,1046,1408,1711,1990,520,885,1194,1472,1732
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.positiveProportionCI_95.lowerLimit,0.9977531433105469,0.9983711242675781,0.9986457824707031,0.9987831115722656,0.9988670349121094,0.9968452453613281,0.9978981018066406,0.9983329772949219,0.9985694885253906,0.9986991882324219,0.9955863952636719,0.9972114562988281,0.9978675842285156,0.9982109069824219,0.9984245300292969,0.9941596984863281,0.9964790344238281,0.9973869323730469,0.9978446960449219,0.9981498718261719,0.9929313659667969,0.9958381652832031,0.9969139099121094,0.9974937438964844,0.9978752136230469
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.negativeProportionCI_95.upperLimit,0.002246856689453125,0.001628875732421875,0.001354217529296875,0.001216888427734375,0.001132965087890625,0.003154754638671875,0.002101898193359375,0.001667022705078125,0.001430511474609375,0.001300811767578125,0.004413604736328125,0.002788543701171875,0.002132415771484375,0.001789093017578125,0.001575469970703125,0.005840301513671875,0.003520965576171875,0.002613067626953125,0.002155303955078125,0.001850128173828125,0.007068634033203125,0.004161834716796875,0.003086090087890625,0.002506256103515625,0.002124786376953125
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.meanCI_95.lowerLimit,6.752067728182735,10.48296754995055,14.75865703161832,19.337832803435965,22.943908364396872,17.417655673104747,23.35605877663996,30.440323463699173,37.47717517828412,43.00786905503845,30.392483594555944,39.96985471017564,49.613078938446364,58.64953968240541,67.12576131853174,45.76356928702288,59.59170394299763,70.87979346252548,84.13571018389129,96.00577784906497,63.59501352280224,80.78733515525415,95.09838254547611,111.89476506855277,126.3244725514936
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.candlesToExit.meanCI_95.upperLimit,7.449151784012389,11.59558496549518,16.33773737603436,21.573542857939714,25.529646371150474,19.760426518676084,25.838005150300727,33.46637943485153,41.05724722544979,46.91883989492633,34.808955254364875,44.50287256255163,54.584952329648516,64.06363861216832,73.02368360034092,53.05547833202471,66.79261728071175,78.63014971929276,92.6427819259861,104.86055380922642,74.11652493873628,91.88385128542377,106.71568780628274,124.21800667057747,139.14550435381807
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.mean,426.03658536585345,662.356575463371,932.8918322295801,1227.34126984127,1454.206642066422,1115.3424657534242,1475.8219178082188,1917.2010869565206,2356.032672112019,2697.8012684989444,1956.0431654676263,2534.1818181818185,3125.940938042851,3681.3953488372117,4204.483347566187,2964.5714285714275,3791.529636711278,4485.298295454547,5303.354763296316,6025.98994974874,4131.346153846154,5180.135593220335,6054.422110552765,7083.383152173914,7964.099307159353
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.stdDev,432.08805130277784,810.6641911760992,1260.0684487250924,1881.7917349109248,2256.9657615539904,1225.50874769279,1590.1006969392938,2176.414820131366,2778.4845639455816,3189.010555903877,1952.1970700457907,2520.8068969977057,3162.506399077123,3764.837338434973,4368.754839621783,2801.410170187634,3564.6640798916974,4451.313444610694,5386.048793362233,6046.016093945242,3672.357781024904,5052.699469322814,6144.304748924667,7236.758025843517,8166.991520021949
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.min,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,120,120,120,120,120,120,120
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.firstQuartile,120,180,240,240,240,360,480,540,660,660,660,840,1080,1200,1260,1020,1320,1620,1860,1980,1560,1860,2145,2400,2520
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.median,300,420,480,540,600,720,960,1140,1380,1500,1380,1740,2100,2460,2700,2160,2640,3060,3360,3780,3000,3540,4020,4560,5340
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.thirdQuartile,540,840,1080,1380,1620,1320,1920,2400,3000,3375,2580,3360,4020,4800,5535,3795,4755,5685,7320,8460,5580,6900,8355,9720,10440
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.max,4200,8520,10800,15120,15300,9840,16080,17280,17640,23040,14340,17940,26280,26580,54480,15180,32640,39660,39660,54480,26160,49980,49980,49980,69780
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.summary.range,4140,8460,10740,15060,15240,9780,16020,17220,17580,22980,14280,17880,26220,26520,54420,15060,32520,39540,39540,54360,26040,49860,49860,49860,69660
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.positiveCount,1640,2266,2718,3024,3252,1168,1752,2208,2571,2838,834,1320,1727,2064,2342,630,1046,1408,1711,1990,520,885,1194,1472,1732
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.negativeCount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.positiveProportion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.negativeProportion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.positiveProportionCI_95.lowerLimit,0.9977531433105469,0.9983711242675781,0.9986457824707031,0.9987831115722656,0.9988670349121094,0.9968452453613281,0.9978981018066406,0.9983329772949219,0.9985694885253906,0.9986991882324219,0.9955863952636719,0.9972114562988281,0.9978675842285156,0.9982109069824219,0.9984245300292969,0.9941596984863281,0.9964790344238281,0.9973869323730469,0.9978446960449219,0.9981498718261719,0.9929313659667969,0.9958381652832031,0.9969139099121094,0.9974937438964844,0.9978752136230469
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.positiveProportionCI_95.upperLimit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.negativeProportionCI_95.lowerLimit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.negativeProportionCI_95.upperLimit,0.002246856689453125,0.001628875732421875,0.001354217529296875,0.001216888427734375,0.001132965087890625,0.003154754638671875,0.002101898193359375,0.001667022705078125,0.001430511474609375,0.001300811767578125,0.004413604736328125,0.002788543701171875,0.002132415771484375,0.001789093017578125,0.001575469970703125,0.005840301513671875,0.003520965576171875,0.002613067626953125,0.002155303955078125,0.001850128173828125,0.007068634033203125,0.004161834716796875,0.003086090087890625,0.002506256103515625,0.002124786376953125
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.meanCI_95.lowerLimit,405.12406369096385,628.978052997032,885.5194218970988,1160.2699682061577,1376.634501863814,1045.059340386284,1401.3635265983958,1826.41940782195,2248.630510697049,2580.472143302308,1823.5490156733586,2398.191282610539,2976.7847363067867,3518.9723809443244,4027.5456791119122,2745.8141572213726,3575.502236579854,4252.787607751528,5048.142611033472,5760.346670943897,3815.700811368133,4847.240109315247,5705.902952728566,6713.685904113173,7579.468353089618
backtestResult.results.groupedByPriceTargetReached.true.exitInfo.timeToExitSec.meanCI_95.upperLimit,446.94910704074306,695.7350979297099,980.2642425620614,1294.4125714763825,1531.7787822690302,1185.6255911205644,1550.2803090180419,2007.9827660910912,2463.434833526989,2815.130393695581,2088.537315261894,2670.172353753098,3275.0971397789153,3843.818316730099,4381.421016020462,3183.3286999214824,4007.5570368427016,4717.808983157565,5558.56691555916,6291.633228553584,4446.991496324175,5513.0310771254235,6402.941268376964,7453.080400234655,8348.730261229088
backtestResult.results.groupedByPriceTargetReached.false.sampleSize,2932,2306,1854,1548,1320,3632,3048,2592,2229,1962,3966,3480,3073,2736,2458,4170,3754,3392,3089,2810,4280,3915,3606,3328,3068
backtestResult.results.groupedByPriceTargetReached.false.individualResults,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin.sortedValues,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin.summary.mean,-0.001983204829967056,-0.002890022073473817,-0.0037790576935321043,-0.004625186497763167,-0.0054657437043824555,-0.002223667540705208,-0.00315281302008371,-0.004048679398994792,-0.00490516698412976,-0.005752753972181742,-0.0022593863176532123,-0.0031927398564989408,-0.004099985492558358,-0.004974108526809119,-0.005821835742777509,-0.002263854028035911,-0.0031979571104218405,-0.0041184919018971665,-0.005013785621708378,-0.005887116638765576,-0.0022629863873112463,-0.003199872114616535,-0.004126174689777366,-0.0050398929298834634,-0.005946127274926928
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin.summary.stdDev,0.0006611580988849066,0.0009215033525891966,0.001233871825829595,0.001555144082053385,0.0018951208437631556,0.0007335673206903164,0.0009624862754433787,0.0012479824672574134,0.001555191426076198,0.0019024816616193502,0.0007910539768759908,0.0010115865389471346,0.0012941066601519491,0.0016073218671970285,0.0019544771585161716,0.0008082806297087604,0.0010244232618568606,0.0013088639743936736,0.0016291609492983536,0.0019772965225478578,0.0008065517859159264,0.0010185098997872607,0.0012992270672070446,0.001628357017672017,0.001985224691542765
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin.summary.min,-0.005064809672048848,-0.007230556271299554,-0.008872522631909598,-0.011600452334591714,-0.014328382037273832,-0.006706965636438895,-0.007928060787183267,-0.009750964950594635,-0.011600452334591714,-0.014328382037273832,-0.0081238449414679,-0.010018800156339531,-0.009958105550661065,-0.011600452334591714,-0.014328382037273832,-0.0081238449414679,-0.010018800156339531,-0.009958105550661065,-0.011600452334591714,-0.014328382037273832,-0.0081238449414679,-0.010018800156339531,-0.009958105550661065,-0.012441804557987865,-0.015090600309773125
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin.summary.firstQuartile,-0.0023718580076136455,-0.003472807086440586,-0.0045690720186999855,-0.005613460428461209,-0.006616808825142119,-0.002607866139278975,-0.003722579462808112,-0.004845392259978083,-0.005865939588393565,-0.006905665234159973,-0.0026358126961867367,-0.003759817989220416,-0.004906432901848442,-0.005976156014233259,-0.00702402457009109,-0.002636924176695324,-0.0037666710503241,-0.004943226007658313,-0.006036953823982453,-0.007095377954482164,-0.0026344973339300455,-0.0037652138706605045,-0.0049355988841189346,-0.006051962491224448,-0.007154103619951106
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin.summary.median,-0.0019811245431026673,-0.002864751441155758,-0.003725248651884316,-0.0045106673699321104,-0.005295952021440651,-0.002175261156053413,-0.0030772219781651025,-0.003993330236894039,-0.004817246926729736,-0.005600686175067364,-0.002194316036080598,-0.0030955027173429333,-0.004013739434866753,-0.0048629384583857,-0.005652226239642572,-0.0021926324551046314,-0.0030948018292412723,-0.004013912459446937,-0.00488942191254038,-0.005718517716331259,-0.0021927780505225265,-0.0030973564429321028,-0.004024084142409172,-0.004925799670545017,-0.0057824846623439775
backtestResult.results.groupedByPriceTargetReached.false.profitInfo.profitMargin.summary.thirdQuartile,-0.0016110110492880457,-0.002284271125253769,-0.0029264939284602024,-0.0035616264552047958,-0.004216430361539044,-0.0017932406213237155,-0.00251060389527357,-0.003195340726741904,-0.0038335242958283536,-0.00441868188611666,-0.0018102664100245486,-0.002531866661037179,-0.003213850815892515,-0.003866069848541374,-0.004455445795965577,-0.0018147982767720387,-0.0025366285919814157,-0.0032234395463530243,-0.003879029912483252,-0.004497881155839703,-0.0018155289425766657,-0.002545140170616855,-0.003235630169427715,-0.0039036670635880823,-0.004555553072674712
